Zone,Tree ID #,Lat.,Long.,Map,Common Name,Botanical Name,Circum.,,DBH,Structure,Health,Planted By,Date,Hazard/Safety,Maintenance,Perf. By,Date,Notes
3. Front Lawn,132,37.9888779670000,-84.5599780417978,,black walnut,Juglans nigra,"4' 1""",49.0,15.60,Moderate,Moderate,,,,,,,
3. Front Lawn,207,37.9889330361038,-84.5592580363154,,yellow buckeye,Aesculus flava,"10' 10""",130.0,41.38,Good,Good,,,,,,,
3. Front Lawn,133,37.9890519753098,-84.5593179669231,,bur oak,Quercus macrocarpa,,,,,,,fall 2019,,,,,Trees Lexington! pocket nursery donation
3. Front Lawn,134,37.9890229739248,-84.5594509877264,,red oak,Quercus rubra,,,,,,,fall 2019,,,,,Trees Lexington! pocket nursery donation
3. Front Lawn,135,37.9890590161085,-84.5596219785511,,white oak,Quercus alba,,,,,,,fall 2019,,,,,Trees Lexington! pocket nursery donation
2. Woods,136,37.9890059586614,-84.5597610343247,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
2. Woods,137,37.9890399891883,-84.5597600284963,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
2. Woods,138,37.9891450144350,-84.5597460307180,,hazelnut,Corylus americana,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
2. Woods,139,37.9892190266400,-84.5598020218312,,hazelnut,Corylus americana,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
2. Woods,140,37.9892150033265,-84.5597180351614,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
2. Woods,141,37.9892139974981,-84.5596199668943,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
2. Woods,142,37.9892509616911,-84.5596949849277,,spicebush,Lindera benzoin,,,,,,,2018,,,,,
2. Woods,143,37.9892569966614,-84.5596750359982,,spicebush,Lindera benzoin,,,,,,,2018,,,,,
2. Woods,144,37.9894109722226,-84.5596949849277,,wild plum,Prunus americana,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,145,37.9893709905445,-84.5597779657691,,wild plum,Prunus americana,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,146,37.9895330127328,-84.5597750321030,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
2. Woods,147,37.9895009938627,-84.5597460307180,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
3. Front Lawn,148,37.9894719924777,-84.5594870299100,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
3. Front Lawn,149,37.9894559830427,-84.5594420190900,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
3. Front Lawn,150,37.9894080385565,-84.5593260135501,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
3. Front Lawn,151,37.9893819708377,-84.5592670049518,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
4. Back Corner,152,37.9890300147235,-84.5584169961512,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
4. Back Corner,153,37.9889649711549,-84.5582930278033,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
4. Back Corner,154,37.9887430183589,-84.5583539642393,,rough leaf dogwood,Cornus drummondii,,,,,,Russ T.,"May, 2021",,,,,replacement by Russ Turpin
4. Back Corner,155,37.9887949861586,-84.5583529584109,,persimmon,Diospyros virginiana,,,,,,,"May, 2020",,,,,4 shrubs in one area (2 RTB donations + 2 Russ T. replacements)
4. Back Corner,156,37.9886540025472,-84.5584869850426,,rough leaf dogwood,Cornus drummondii,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
4. Back Corner,157,37.9883589595556,-84.5588090177625,,itea 'Little Henry',Itea virginica,,,,,,,"fall, 2020",,,,,Springhouse Gardens
4. Back Corner,158,37.9882950056344,-84.5586439780890,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
4. Back Corner,159,37.9882789961993,-84.5586709678173,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
4. Back Corner,160,37.9882430378347,-84.5586899947375,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
4. Back Corner,161,37.9882029723376,-84.5587210077792,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
1. Memorial Garden,162,37.9880820214748,-84.5588510110974,,rough leaf dogwood,Cornus drummondii,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
1. Memorial Garden,163,37.9881560336798,-84.5589700341224,,fragrant sumac,Rhus aromatica,,,,,,,"fall, 2019",,,,,Springhouse Gardens
1. Memorial Garden,164,37.9881700314581,-84.5590469799935,,winterberry holly,Ilex verticillata,,,,,,,"fall, 2019",,,,,"Springhouse Gardens, FEMALE"
1. Memorial Garden,165,37.9881919920444,-84.5590579602867,,winterberry holly,Ilex verticillata,,,,,,,"fall, 2019",,,,,"Springhouse Gardens, MALE"
1. Memorial Garden,166,37.9880940075963,-84.5589859597384,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
1. Memorial Garden,167,37.9880859609693,-84.5589199941605,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
1. Memorial Garden,168,37.9880390223115,-84.5589700341224,,sweet fern,Comptonia peregrina,,,,,,,"fall, 2019",,,,,Springhouse Gardens
